review_id,customer_id,store_id,rating,review_text,sentiment
R-00164,C-00401,S-02,1,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00165,C-00493,S-04,4,"Convenient location, plenty of parking space.",Positive
R-00166,C-00123,S-01,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00167,C-00891,S-01,2,"AC was broken, super hot inside. Checkout was very slow.",Negative
R-00168,C-00163,S-07,1,Many items are out of stock. Very disappointed with availability.,Negative
R-00169,C-00319,S-01,3,Standard drugstore selection. Service is average.,Neutral
R-00170,C-00960,S-01,2,Many items are out of stock. Very disappointed with availability.,Negative
R-00171,C-00029,S-03,5,The membership promos are very worth it. Staff are polite.,Positive
R-00172,C-00901,S-02,4,Standard drugstore selection. Service is average.,Neutral
R-00173,C-00549,S-03,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00174,C-00662,S-03,5,The membership promos are very worth it. Staff are polite.,Positive
R-00175,C-00427,S-03,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00176,C-00071,S-10,4,"Staff are ok, selection is average.",Neutral
R-00177,C-00821,S-04,2,"AC was broken, super hot inside. Checkout was very slow.",Negative
R-00178,C-00752,S-06,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00179,C-00032,S-09,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00180,C-00457,S-07,2,"No parking slots left, and guards were not helpful at all.",Negative
R-00181,C-00682,S-02,1,Staff were rude when I asked where to find milk. Terrible service.,Negative
R-00182,C-00493,S-10,5,The membership promos are very worth it. Staff are polite.,Positive
R-00183,C-00639,S-03,4,"Staff are ok, selection is average.",Neutral
R-00184,C-00103,S-02,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00185,C-00560,S-08,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00186,C-00105,S-08,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00187,C-00048,S-05,5,The membership promos are very worth it. Staff are polite.,Positive
R-00188,C-00732,S-07,5,"Convenient location, plenty of parking space.",Positive
R-00189,C-00383,S-03,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00190,C-00006,S-09,1,"No parking slots left, and guards were not helpful at all.",Negative
R-00191,C-00558,S-07,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00192,C-00470,S-07,4,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00193,C-00911,S-01,3,Clean store but some items are out of stock.,Neutral
R-00194,C-00364,S-08,3,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00195,C-00303,S-09,4,"Quick service, staff assisted me immediately in finding items.",Positive
R-00196,C-00869,S-06,1,"No parking slots left, and guards were not helpful at all.",Negative
R-00197,C-00217,S-01,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00198,C-00965,S-09,4,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00199,C-00763,S-06,4,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00200,C-00008,S-03,3,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00201,C-00337,S-01,5,The membership promos are very worth it. Staff are polite.,Positive
R-00202,C-00544,S-01,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00203,C-00196,S-09,4,"Convenient location, plenty of parking space.",Positive
R-00204,C-00730,S-10,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00205,C-00978,S-02,2,Very dirty floors and messy shelves. Needs better management.,Negative
R-00206,C-00475,S-02,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00207,C-00217,S-01,2,Many items are out of stock. Very disappointed with availability.,Negative
R-00208,C-00839,S-04,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00209,C-00728,S-03,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00210,C-00531,S-04,4,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00211,C-00274,S-10,2,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00212,C-00984,S-02,2,Staff were rude when I asked where to find milk. Terrible service.,Negative
R-00213,C-00648,S-02,2,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00214,C-00102,S-08,1,Prices are too high! Promos are misleading.,Negative
R-00215,C-00885,S-02,1,Very dirty floors and messy shelves. Needs better management.,Negative
R-00216,C-00584,S-10,5,"Convenient location, plenty of parking space.",Positive
R-00217,C-00422,S-02,4,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00218,C-00772,S-06,2,Very dirty floors and messy shelves. Needs better management.,Negative
R-00219,C-00176,S-01,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00220,C-00751,S-01,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00221,C-00204,S-03,1,"AC was broken, super hot inside. Checkout was very slow.",Negative
R-00222,C-00665,S-06,5,The membership promos are very worth it. Staff are polite.,Positive
R-00223,C-00438,S-10,1,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00224,C-00056,S-04,4,"Convenient location, plenty of parking space.",Positive
R-00225,C-00222,S-09,3,"Decent product variety, prices are okay.",Neutral
R-00226,C-00223,S-06,4,Best place to get grocery items quickly. Love the layout.,Positive
R-00227,C-00187,S-08,3,Clean enough but sometimes long lines at checkout.,Neutral
R-00228,C-00817,S-09,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00229,C-00530,S-04,4,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00230,C-00211,S-01,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00231,C-00118,S-03,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00232,C-00659,S-02,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00233,C-00544,S-03,1,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00234,C-00014,S-05,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00235,C-00438,S-01,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00236,C-00170,S-02,2,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00237,C-00364,S-06,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00238,C-00430,S-09,3,Clean enough but sometimes long lines at checkout.,Neutral
R-00239,C-00726,S-02,4,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00240,C-00955,S-06,3,"Decent product variety, prices are okay.",Neutral
R-00241,C-00283,S-04,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00242,C-00211,S-10,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00243,C-00702,S-03,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00244,C-00749,S-06,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00245,C-00821,S-05,4,Standard drugstore selection. Service is average.,Neutral
R-00246,C-00348,S-08,1,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00247,C-00930,S-04,4,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00248,C-00288,S-08,1,"AC was broken, super hot inside. Checkout was very slow.",Negative
R-00249,C-00462,S-10,3,"Staff are ok, selection is average.",Neutral
R-00250,C-00157,S-03,3,Prices are slightly high compared to others but it's nearby.,Neutral
R-00251,C-00060,S-02,4,Standard drugstore selection. Service is average.,Neutral
R-00252,C-00475,S-10,4,Best place to get grocery items quickly. Love the layout.,Positive
R-00253,C-00564,S-05,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00254,C-00823,S-06,3,Standard drugstore selection. Service is average.,Neutral
R-00255,C-00425,S-08,4,The membership promos are very worth it. Staff are polite.,Positive
R-00256,C-00369,S-06,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00257,C-00362,S-02,4,Best place to get grocery items quickly. Love the layout.,Positive
R-00258,C-00649,S-06,4,Prices are slightly high compared to others but it's nearby.,Neutral
R-00259,C-00294,S-03,3,Standard drugstore selection. Service is average.,Neutral
R-00260,C-00879,S-04,4,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00261,C-00661,S-01,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00262,C-00420,S-06,1,Prices are too high! Promos are misleading.,Negative
R-00263,C-00402,S-10,3,Standard drugstore selection. Service is average.,Neutral
R-00264,C-00027,S-08,4,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00265,C-00080,S-05,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00266,C-00432,S-01,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00267,C-00557,S-07,2,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00268,C-00643,S-05,4,"Convenient location, plenty of parking space.",Positive
R-00269,C-00825,S-10,1,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00270,C-00558,S-09,3,Prices are slightly high compared to others but it's nearby.,Neutral
R-00271,C-00940,S-03,4,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00272,C-00178,S-08,4,"Staff are ok, selection is average.",Neutral
R-00273,C-00252,S-01,5,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00274,C-00794,S-09,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00275,C-00899,S-06,5,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00276,C-00211,S-10,3,Standard drugstore selection. Service is average.,Neutral
R-00277,C-00087,S-07,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00278,C-00637,S-02,5,"Convenient location, plenty of parking space.",Positive
R-00279,C-00005,S-02,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00280,C-00967,S-04,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00281,C-00277,S-02,4,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00282,C-00779,S-10,1,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00283,C-00139,S-07,4,"Staff are ok, selection is average.",Neutral
R-00284,C-00008,S-08,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00285,C-00571,S-06,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00286,C-00735,S-03,4,Clean store but some items are out of stock.,Neutral
R-00287,C-00899,S-08,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00288,C-00791,S-06,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00289,C-00553,S-10,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00290,C-00547,S-04,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00291,C-00230,S-03,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00292,C-00951,S-04,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00293,C-00167,S-03,1,Staff were rude when I asked where to find milk. Terrible service.,Negative
R-00294,C-00421,S-08,2,Had to wait 20 minutes just to get medicine. Understaffed.,Negative
R-00295,C-00721,S-06,1,"AC was broken, super hot inside. Checkout was very slow.",Negative
R-00296,C-00587,S-09,3,"A bit crowded on weekends, but weekdays are fine.",Neutral
R-00297,C-00839,S-07,5,Best place to get grocery items quickly. Love the layout.,Positive
R-00298,C-00651,S-02,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00299,C-00138,S-01,2,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00300,C-00148,S-10,5,The membership promos are very worth it. Staff are polite.,Positive
R-00301,C-00992,S-06,5,"Convenient location, plenty of parking space.",Positive
R-00302,C-00734,S-04,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00303,C-00703,S-04,5,The membership promos are very worth it. Staff are polite.,Positive
R-00304,C-00333,S-01,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00305,C-00494,S-10,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00306,C-00045,S-06,2,Super long queue times! Only two cashiers working on a busy day.,Negative
R-00307,C-00719,S-04,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00308,C-00120,S-02,4,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00309,C-00090,S-02,4,"Clean aisles, safe environment, and fast checkout counters.",Positive
R-00310,C-00788,S-09,3,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00311,C-00350,S-05,4,Standard drugstore selection. Service is average.,Neutral
R-00312,C-00179,S-01,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00313,C-00428,S-03,4,"Quick service, staff assisted me immediately in finding items.",Positive
R-00314,C-00885,S-07,4,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00315,C-00108,S-10,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00316,C-00666,S-07,5,The membership promos are very worth it. Staff are polite.,Positive
R-00317,C-00540,S-07,2,Prices are too high! Promos are misleading.,Negative
R-00318,C-00252,S-08,4,The membership promos are very worth it. Staff are polite.,Positive
R-00319,C-00162,S-07,4,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00320,C-00231,S-08,3,"Store is alright, though parking can be difficult during peak hours.",Neutral
R-00321,C-00541,S-05,3,Standard drugstore selection. Service is average.,Neutral
R-00322,C-00923,S-07,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00323,C-00177,S-08,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00324,C-00515,S-04,4,"Aircon is very cold, makes shopping pleasant. Great service!",Positive
R-00325,C-00661,S-04,4,Clean enough but sometimes long lines at checkout.,Neutral
R-00326,C-00736,S-05,4,"A bit crowded on weekends, but weekdays are fine.",Neutral
R-00327,C-00508,S-09,5,The membership promos are very worth it. Staff are polite.,Positive
R-00328,C-00935,S-01,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00329,C-00812,S-07,4,Clean store but some items are out of stock.,Neutral
R-00330,C-00742,S-08,3,Clean store but some items are out of stock.,Neutral
R-00331,C-00487,S-09,1,"Extremely narrow aisles, hard to navigate with a shopping cart.",Negative
R-00332,C-00543,S-10,5,The membership promos are very worth it. Staff are polite.,Positive
R-00333,C-00143,S-07,4,"Quick service, staff assisted me immediately in finding items.",Positive
R-00334,C-00229,S-01,5,Always fully stocked with fresh vegetables and drinks.,Positive
R-00335,C-00551,S-01,5,"Quick service, staff assisted me immediately in finding items.",Positive
R-00336,C-00905,S-09,4,Always fully stocked with fresh vegetables and drinks.,Positive
R-00337,C-00116,S-03,4,Standard drugstore selection. Service is average.,Neutral
R-00338,C-00485,S-04,5,Excellent staff and very helpful cashiers. Wide range of products.,Positive
R-00339,C-00744,S-01,3,Standard shopping experience. Nothing special but gets the job done.,Neutral
R-00340,C-00479,S-09,5,"Clean store, very fast checkouts. Will shop here again!",Positive
R-00341,C-00073,S-10,1,Very dirty floors and messy shelves. Needs better management.,Negative
